700,PROFESOR TITULAR DED EXCLUSIVA CBT
701,PROFESOR ASOCIADO DED EXCLUSIVA CBT
702,PROFESOR ADJUNTO DED EXCLUSIVA CBT
703,AUXILIAR JTP DED EXCLUSIVA CBT
704,AUXILIAR AYUDANTE 1ERA.DED EXCLUSIVA CBT
705,PROFESOR TITULAR DED TIEMPO COMPLETO
706,PROFESOR ASOCIADO DED TIEMPO COMPLETO
707,PROF ADJUNTO TIEMPO COMPLETO
708,JTP AUXILIAR TIEMPO COMPLETO
709,AUXILIAR AYUD 1RA TIEMPO COMPLETO
800,PROFESOR TITULAR DED EXCLUSIVA
801,PROFESOR ADJUNTO DED EXCLUSIVA
802,PROFESOR ADJUNTO DED EXCLUSIVA
803,AUXILIAR JTP DED EXCLUSIVA
804,AUXILIAR AYUDANTE 1ER. DED EXCLUSIVA
805,PROFESOR TITULAR DED SEMIEXCLUSIVA
806,PROFESOR ASOCIADO DED SEMIEXCLUSIVA
807,PROFESOR ADJUNTO DED SEMIEXCLUSIVA
808,AUXILIAR JTP DED SEMIEXCLUSIVA
809,AUXILIAR AYUD 1RA DED SEMIEXCLUSIVA
810,PROFESOR TITULAR DED SIMPLE
811,PROFESOR ASOCIADO DED SIMPLE
812,PROFESOR ADJUNTO DED SIMPLE
813,AUXILIAR JTP DED SIMPLE
814,AUXILIAR AYUD 1RA DED SIMPLE
815,AUXILIAR AYUD 2DA DED SIMPLE
816,BEDEL JEFE DE BEDEL 1RA DED OTRO
817,BEDEL JEFE DE BEDEL 2DA DED OTRO
818,BEDEL JEFE DE LAB DED OTRO
819,BEDEL BEDEL DED OTRO
998,CONTRATOS HORAS DED OTRO
999,HORAS CATEDR UNIV HORAS DED OTRO
1,DIRECTIVO 11
2,DIRECTIVO 10
3,SUPERIOR 9
4,SUPERIOR 8
5,SUPERIOR 7
6,APOYO 6
7,APOYO 5
8,APOYO 4
9,APOYO 3
10,APOYO 2
11,APOYO 1
111,OTROS APOYO
222,OTROS SUPERIOR
333,OTROS
999,CONTRATADO
134,VICE RECTOR DED EXCL
135,VICEDECANO DED EXCL
136,VICERECTOR TIEMPO COMPLETO
137,VICE DECANO DED TIEMPO COMPLETO
138,VICE RECTOR DED TIEMPO PARCIAL
139,VICE DECANO DED TIEMPO PARCIAL
145,RECTOR PRESIDENTE DED EXCL
146,DECANO DED EXCL
147,SEC UNIV DED EXCL
148,SEC FACULTAD DED EXCL
150,DECANO DED TIEMPO COMPLETO
151,SEC UNIV DED TIEMPO COMPLETO
152,SEC FACULTAD DED TIEMPO COMPLETO
155,DECANO DED TIEMPO PARCIAL
156,SEC UNIV DED TIEMPO PARCIAL
157,SEC FACULTAD TIEMPO PARCIAL
444,OTROS DED TIEMPO PARCIAL
555,OTROS DED TIEMPO COMPLETO
666,OTROS DED EXCL
999,CONTRATADO DED CONTRATADO
1,PRESIDENTE DE LA NACION
2,VICEPRESIDENTE DE LA NACION
3,Ministro
4,Secretario
5,Subsecretario
7,SECRETARIO P/ LA MODERNIZ.EST.VICEPRESID
8,SECRETARIO DE CIENCIA Y TECNOLOGIA
10,TITULAR DE LA UNID DE COORD GRAL
11,SUBSECRETARIO
12,PRESIDENTE CONS.NAC.COORD.POL.SOCIALES
15,ADMINISTRADOR FEDERAL AFIP
16,DIRECTOR GENERAL AFIP
17,SUBDIRECTOR GENERAL AFIP
20,Presidente de la Junta Nacional de Grano
21,Vicepresidente de la Junta Nacional de G
22,Vocal de la Junta Nacional de Granos
25,Presidente de la Lotera Nacional
26,Vicepresidente de la Lotera Nacional
30,SUPERINTENDENTE SUPERINTENDENC.SEGUROS
31,VICE SUPERINTENDENTE SUPERINTENDENC SEG
35,PRESIDENTE DEL SERV.NAC.DE SAN.Y CAL.AG.
36,Director Nacional del Servicio Nacional
37,CONSEJERO OF.NAC.CONTROL COMERC. AGROPEC
38,Gerente General
40,DIRECTOR-PRESIDENTE SUPERINT. SERV SALUD
42,GERENTE GRAL. SUPERINT.DE SERV.DE SALUD
43,GERENTE DE LA ADM DE PROGRAMAS ESP
44,Director del Instituto Nacional de Obras
45,AUDITOR INTERNO TIT. SUPERIN SERV SALUD
